Aberdeen;easting=392500;northing=806500;partial-context=499
Bangor;easting=257500;northing=371500;partial-context=14083
Bath;easting=374500;northing=164500;partial-context=16548
Birmingham;easting=409500;northing=287500;partial-context=22833
Bradford;easting=416500;northing=432500;partial-context=29764
Brighton;easting=531500;northing=106500;partial-context=32199
Bristol;easting=360500;northing=175500;partial-context=32451
Cambridge;easting=546500;northing=258500;partial-context=42107
Canterbury;easting=614500;northing=157500;partial-context=42681
Cardiff/Caerdydd;easting=318500;northing=176500;partial-context=43191
Carlisle;easting=339500;northing=555500;partial-context=43448
Chester;easting=340500;northing=366500;partial-context=49515
Chichester;easting=486500;northing=104500;partial-context=49761
Coventry;easting=433500;northing=278500;partial-context=61240
Derby;easting=435500;northing=335500;partial-context=72296
Dundee;easting=336500;northing=732500;partial-context=77496
Durham;easting=427500;northing=542500;partial-context=78111
Edinburgh;easting=327500;northing=673500;partial-context=81482
Ely;easting=554500;northing=280500;partial-context=83337
Exeter;easting=292500;northing=92500;partial-context=84578
Glasgow;easting=259500;northing=665500;partial-context=96822
Gloucester;easting=383500;northing=218500;partial-context=98934
Hereford;easting=351500;northing=240500;partial-context=113937
Hove;easting=528500;northing=105500;partial-context=123553
Inverness;easting=266500;northing=845500;partial-context=126461
Kingston upon Hull;easting=509500;northing=429500;partial-context=130591
Lancaster;easting=347500;northing=461500;partial-context=134285
Leeds;easting=430500;northing=434500;partial-context=136973
Leicester;easting=458500;northing=304500;partial-context=137118
Lichfield;easting=411500;northing=309500;partial-context=138058
Lincoln;easting=497500;northing=371500;partial-context=138512
Liverpool;easting=337500;northing=391500;partial-context=140831
London;easting=531500;northing=181500;partial-context=148577
Manchester;easting=383500;northing=398500;partial-context=155254
Newcastle upon Tyne;easting=425500;northing=564500;partial-context=173244
Newport;easting=332500;northing=287500;partial-context=173923
Norwich;easting=623500;northing=308500;partial-context=177189
Nottingham;easting=456500;northing=341500;partial-context=177276
Oxford;easting=451500;northing=206500;partial-context=181641
Peterborough;easting=519500;northing=299500;partial-context=187870
Plymouth;easting=247500;northing=56500;partial-context=190268
Portsmouth;easting=465500;northing=101500;partial-context=192409
Preston;easting=353500;northing=429500;partial-context=193123
Ripon;easting=431500;northing=471500;partial-context=199591
Salford;easting=380500;northing=398500;partial-context=206958
Salisbury;easting=414500;northing=130500;partial-context=206984
Sheffield;easting=435500;northing=387500;partial-context=212004
Southampton;easting=442500;northing=113500;partial-context=218013
St Albans;easting=515500;northing=207500;partial-context=206112
St. Albans;easting=515500;northing=207500;partial-context=206112
St David's;easting=294500;northing=720500;partial-context=206294
St. David's;easting=294500;northing=720500;partial-context=206294
Stirling;easting=279500;northing=693500;partial-context=222032
Stoke-on-Trent;easting=387500;northing=347500;partial-context=222723
Stoke on Trent;easting=387500;northing=347500;partial-context=222723
Sunderland;easting=439500;northing=557500;partial-context=225368
Swansea;easting=264500;northing=194500;partial-context=226093
Truro;easting=182500;northing=44500;partial-context=236463
Wakefield;easting=433500;northing=420500;partial-context=242118
Wells;easting=354500;northing=145500;partial-context=245677
Westminster;easting=529500;northing=179500;partial-context=248770
Winchester;easting=448500;northing=129500;partial-context=253468
Wolverhampton;easting=391500;northing=298500;partial-context=254866
Worcester;easting=385500;northing=255500;partial-context=257080
York;easting=459500;northing=451500;partial-context=258813
